Date,Vendor,Category,Amount,Mode,Notes
2023-11-13,School,Other,43330.82,Cash,Seed 1
2024-04-08,School,Education,31469.14,Card,Seed 2
2025-04-30,Swiggy,Insurance,25684.75,Bank,Seed 3
2023-12-04,School,Investments,22934.58,Card,Seed 4
2025-09-14,Fuel Pump,Insurance,29131.88,Cash,Seed 5
2025-12-27,Uber,Investments,26462.04,Cash,Seed 6
2024-09-11,Fuel Pump,Food,38835.15,Bank,Seed 7
2022-12-21,Swiggy,Shopping,29069.71,UPI,Seed 8
2022-09-29,Electricity Board,Other,35062.8,Card,Seed 9
2025-01-03,Electricity Board,Shopping,8351.33,UPI,Seed 10
2023-04-29,School,Investments,22999.87,UPI,Seed 11
2023-10-15,School,Travel,30078.16,Card,Seed 12
2022-01-31,Swiggy,Other,31175.11,Card,Seed 13
2023-05-07,School,Healthcare,9826.52,Bank,Seed 14
2025-04-17,Uber,Entertainment,15630.94,UPI,Seed 15
2022-12-24,Electricity Board,Healthcare,29239.73,Card,Seed 16
2024-11-02,Uber,Insurance,32883.86,Bank,Seed 17
2025-07-28,Pharmacy,Housing,24836.04,Cash,Seed 18
2022-01-10,Electricity Board,Insurance,8207.38,UPI,Seed 19
2025-01-01,Fuel Pump,Travel,44038.4,Bank,Seed 20
2025-07-09,School,Education,4773.27,UPI,Seed 21
2022-01-22,Supermarket,Entertainment,800.82,Card,Seed 22
2023-03-16,Fuel Pump,Education,25241.07,Card,Seed 23
2023-07-05,Fuel Pump,Shopping,16172.08,Bank,Seed 24
2023-07-25,Uber,Transport,44810.09,UPI,Seed 25
2025-04-09,Travel Desk,Healthcare,26509.97,UPI,Seed 26
2023-08-04,Amazon,Healthcare,4674.56,Cash,Seed 27
2024-01-02,Amazon,Family,23779.64,Cash,Seed 28
2022-07-27,Supermarket,Other,16395.82,Cash,Seed 29
2022-11-22,Amazon,Housing,28641.74,UPI,Seed 30
2022-12-08,School,Education,20426.55,Bank,Seed 31
2022-04-09,Amazon,Investments,1478.76,UPI,Seed 32
2022-11-14,Travel Desk,Debt Payment,42170.15,Cash,Seed 33
2023-05-09,Electricity Board,Other,2156.66,UPI,Seed 34
2026-02-13,Swiggy,Housing,28836.53,UPI,Seed 35
2024-04-27,Swiggy,Investments,43096.19,UPI,Seed 36
2024-03-15,Supermarket,Entertainment,36052.01,Cash,Seed 37
2024-11-14,Uber,Other,13465.58,Card,Seed 38
2024-12-23,Amazon,Other,10849.33,Cash,Seed 39
2024-12-21,Uber,Housing,4778.13,Bank,Seed 40
2023-04-15,Amazon,Healthcare,20220.25,Bank,Seed 41
2025-03-10,School,Healthcare,21503.17,Bank,Seed 42
