date,day_of_week,product_slug,activity,email_send,social_slots,paid_budget_inr,notes
2026-02-16,Monday,productivity-os,Publish Productivity OS — Notion System; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,8000,Use calm authority tone; avoid hype copy.
2026-02-17,Tuesday,google-sheets-profit-loss-dashboard,Publish Google Sheets Profit & Loss Dashboard; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-02-18,Wednesday,resource-library-membership,Publish Resource Library Access (Membership); send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,8000,Use calm authority tone; avoid hype copy.
2026-02-19,Thursday,weekly-planning-dashboard,Publish Weekly Planning Dashboard; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-02-20,Friday,deep-work-system,Publish Deep Work System; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-02-21,Saturday,productivity-templates-mini-pack,Publish Productivity Templates Mini-Pack; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-02-22,Sunday,focus-toolkit,Publish Focus Toolkit; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-02-23,Monday,prompt-engineering-mini-course,Publish Prompt Engineering Mini Course; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-02-24,Tuesday,productivity-audit-consulting-package,Publish Consulting Package: 3-Session Productivity Audit; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,8000,Use calm authority tone; avoid hype copy.
2026-02-25,Wednesday,everything-bundle,Publish Everything Bundle; send launch email; publish 3 social posts; start 48-hour paid push,09:30 IST,10:30 / 14:00 / 19:00 IST,12000,Use calm authority tone; avoid hype copy.
2026-02-26,Thursday,ai-prompt-vault,Publish AI Prompt Vault (200 Prompts); send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-02-27,Friday,google-workspace-power-prompts,Publish Google Workspace Power Prompts (50); send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-02-28,Saturday,productivity-email-templates,Publish Email Templates for Productivity (50); send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-03-01,Sunday,project-decision-matrix-kit,Publish Project Decision Matrix Kit; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
2026-03-02,Monday,automations-pack,Publish Automations Pack (Zapier/Make/Apps Script); send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-03-03,Tuesday,google-sheets-advanced-functions-series,Publish Google Sheets Advanced Functions Series; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-03-04,Wednesday,design-your-system-workshop-recording,Publish Workshop Recording: Design Your System; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,8000,Use calm authority tone; avoid hype copy.
2026-03-05,Thursday,tally-quickstart-pack,Publish Tally QuickStart Pack; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-03-06,Friday,things3-master-setup,Publish Things 3 Master Setup; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-03-07,Saturday,career-leverage-playbook,Publish Career Leverage Playbook; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,4000,Use calm authority tone; avoid hype copy.
2026-03-08,Sunday,roadmap-planner-pack,Publish Public Roadmap / Planner Pack; send launch email; publish 3 social posts,09:30 IST,10:30 / 14:00 / 19:00 IST,1500,Use calm authority tone; avoid hype copy.
