Date,Source,Category,Amount,Taxable,Notes
2022-07-19,Interest Credit,Salary,58890.86,Yes,Seed 1
2024-06-20,Employer Payroll,Other,138386.94,No,Seed 2
2026-01-24,Employer Payroll,Business,28682.59,Yes,Seed 3
2025-07-20,Employer Payroll,Dividends,154623.01,Yes,Seed 4
2024-03-08,Rental Transfer,Salary,190437.0,Yes,Seed 5
2023-04-24,Interest Credit,Other,38019.32,No,Seed 6
2026-01-03,Employer Payroll,Business,125221.18,No,Seed 7
2023-05-27,Interest Credit,Rental,150588.12,Yes,Seed 8
2022-05-28,Consulting Client,Interest,114026.98,Yes,Seed 9
2023-10-18,Interest Credit,Interest,140787.51,Yes,Seed 10
2022-02-13,Freelance Project,Freelance,90317.34,No,Seed 11
2025-02-06,Consulting Client,Interest,179156.07,No,Seed 12
2023-08-08,Freelance Project,Other,105342.88,Yes,Seed 13
2023-07-12,Freelance Project,Business,141599.01,No,Seed 14
2025-05-04,Consulting Client,Interest,57259.88,Yes,Seed 15
2022-03-18,Consulting Client,Interest,152622.96,Yes,Seed 16
2024-04-20,Rental Transfer,Interest,106361.94,No,Seed 17
2024-11-11,Interest Credit,Business,196486.38,Yes,Seed 18
2024-07-05,Rental Transfer,Business,132045.61,Yes,Seed 19
2024-03-29,Interest Credit,Dividends,5368.06,No,Seed 20
2023-10-13,Interest Credit,Freelance,19600.32,Yes,Seed 21
2023-02-27,Interest Credit,Rental,136798.8,Yes,Seed 22
2024-06-07,Freelance Project,Dividends,143589.56,Yes,Seed 23
2023-11-01,Interest Credit,Rental,67365.44,No,Seed 24
2024-11-05,Interest Credit,Salary,164708.59,Yes,Seed 25
2022-12-07,Interest Credit,Business,63015.34,Yes,Seed 26
2025-12-25,Interest Credit,Business,47775.81,No,Seed 27
2025-02-25,Employer Payroll,Interest,112674.87,No,Seed 28
2023-04-03,Consulting Client,Dividends,27613.85,No,Seed 29
2025-12-31,Rental Transfer,Other,179777.04,Yes,Seed 30
2023-05-18,Interest Credit,Freelance,10833.83,No,Seed 31
2025-07-07,Consulting Client,Dividends,69552.49,Yes,Seed 32
2022-09-23,Freelance Project,Dividends,152382.12,Yes,Seed 33
2024-01-22,Employer Payroll,Dividends,140928.61,Yes,Seed 34
2023-12-05,Rental Transfer,Interest,101120.51,No,Seed 35
2023-07-03,Interest Credit,Freelance,100381.42,No,Seed 36
2022-10-10,Consulting Client,Business,26644.82,No,Seed 37
2024-11-03,Consulting Client,Rental,124631.33,Yes,Seed 38
2023-02-16,Employer Payroll,Salary,6397.73,Yes,Seed 39
2023-09-21,Freelance Project,Business,164154.6,No,Seed 40
2023-04-07,Freelance Project,Rental,73735.86,No,Seed 41
2022-06-27,Interest Credit,Dividends,170936.12,Yes,Seed 42
2024-10-09,Interest Credit,Salary,194140.14,Yes,Seed 43
2022-02-26,Rental Transfer,Freelance,21138.19,No,Seed 44
2022-10-02,Freelance Project,Business,204097.77,Yes,Seed 45
2022-02-09,Freelance Project,Other,211841.74,Yes,Seed 46
2024-06-25,Consulting Client,Salary,26750.55,Yes,Seed 47
2022-07-17,Employer Payroll,Dividends,3275.59,Yes,Seed 48
2022-04-24,Freelance Project,Interest,219676.73,Yes,Seed 49
2025-05-13,Freelance Project,Salary,14250.09,No,Seed 50
2023-06-24,Interest Credit,Salary,211824.19,Yes,Seed 51
2022-07-26,Interest Credit,Salary,159799.9,Yes,Seed 52
2022-06-21,Freelance Project,Rental,135026.14,No,Seed 53
2024-08-06,Rental Transfer,Interest,191557.87,Yes,Seed 54
2024-04-15,Employer Payroll,Freelance,56720.58,Yes,Seed 55
2023-02-22,Freelance Project,Salary,208723.0,No,Seed 56
2023-11-16,Consulting Client,Freelance,53189.8,Yes,Seed 57
2024-07-10,Freelance Project,Interest,27543.64,No,Seed 58
2022-12-10,Consulting Client,Interest,120809.2,Yes,Seed 59
2025-06-18,Interest Credit,Rental,111125.58,No,Seed 60
2023-09-20,Freelance Project,Interest,195381.03,No,Seed 61
2025-07-14,Interest Credit,Other,76883.43,Yes,Seed 62
2025-12-29,Freelance Project,Business,135650.57,Yes,Seed 63
2022-04-03,Interest Credit,Other,181314.13,Yes,Seed 64
2025-02-08,Consulting Client,Freelance,212275.88,No,Seed 65
2022-09-29,Employer Payroll,Interest,33834.3,No,Seed 66
2023-09-21,Freelance Project,Business,98038.2,Yes,Seed 67
2023-09-27,Rental Transfer,Dividends,4667.32,Yes,Seed 68
2025-09-07,Employer Payroll,Salary,82013.6,No,Seed 69
2022-03-01,Employer Payroll,Business,119813.33,No,Seed 70
2023-03-16,Consulting Client,Salary,80822.7,Yes,Seed 71
2024-04-21,Interest Credit,Freelance,114444.81,No,Seed 72
2023-12-24,Freelance Project,Interest,50131.64,Yes,Seed 73
2023-01-06,Rental Transfer,Freelance,105493.55,Yes,Seed 74
2022-04-17,Rental Transfer,Business,89425.7,Yes,Seed 75
2022-12-18,Employer Payroll,Salary,203174.85,Yes,Seed 76
2022-10-13,Rental Transfer,Business,14482.03,No,Seed 77
2023-12-06,Rental Transfer,Salary,207455.58,Yes,Seed 78
2023-02-27,Rental Transfer,Freelance,52314.57,No,Seed 79
2023-05-01,Rental Transfer,Business,214633.92,Yes,Seed 80
2025-08-15,Freelance Project,Interest,64925.1,Yes,Seed 81
2022-12-01,Freelance Project,Rental,163177.46,No,Seed 82
2025-10-14,Employer Payroll,Salary,162896.52,No,Seed 83
2023-12-03,Interest Credit,Freelance,217926.95,No,Seed 84
2023-03-13,Freelance Project,Freelance,166894.24,Yes,Seed 85
2022-05-24,Employer Payroll,Dividends,174170.79,No,Seed 86
2025-07-13,Employer Payroll,Freelance,46250.69,No,Seed 87
2023-08-08,Rental Transfer,Other,107987.96,No,Seed 88
2023-06-17,Consulting Client,Other,99239.59,Yes,Seed 89
2025-05-05,Freelance Project,Interest,28547.79,No,Seed 90
2023-04-04,Rental Transfer,Rental,167599.69,Yes,Seed 91
2022-12-17,Consulting Client,Business,82057.44,No,Seed 92
2024-05-25,Rental Transfer,Other,57086.42,No,Seed 93
2025-06-15,Interest Credit,Interest,46586.38,Yes,Seed 94
2025-01-26,Interest Credit,Salary,11626.54,Yes,Seed 95
2022-10-23,Interest Credit,Dividends,10301.08,Yes,Seed 96
2024-11-12,Consulting Client,Business,54280.65,No,Seed 97
2024-10-08,Rental Transfer,Other,147813.61,No,Seed 98
2025-07-07,Employer Payroll,Salary,94356.55,Yes,Seed 99
2024-08-08,Interest Credit,Salary,25881.38,Yes,Seed 100
2024-08-31,Interest Credit,Salary,148978.99,Yes,Seed 101
2024-02-05,Interest Credit,Business,191386.02,Yes,Seed 102
2025-07-30,Rental Transfer,Business,210976.62,Yes,Seed 103
2024-08-29,Consulting Client,Rental,98164.11,Yes,Seed 104
2023-11-08,Employer Payroll,Salary,170797.29,No,Seed 105
2024-02-20,Employer Payroll,Rental,17887.52,Yes,Seed 106
2022-09-25,Freelance Project,Dividends,96686.48,Yes,Seed 107
2024-11-29,Employer Payroll,Other,173693.24,Yes,Seed 108
2026-02-01,Interest Credit,Interest,191737.01,Yes,Seed 109
2022-12-02,Interest Credit,Other,94178.54,No,Seed 110
2023-10-04,Interest Credit,Dividends,16928.79,No,Seed 111
2024-11-21,Consulting Client,Salary,169664.7,Yes,Seed 112
2025-11-04,Employer Payroll,Salary,19715.84,No,Seed 113
2024-07-27,Employer Payroll,Business,184629.61,No,Seed 114
2024-09-07,Employer Payroll,Rental,38237.8,Yes,Seed 115
2025-05-07,Employer Payroll,Rental,58987.04,Yes,Seed 116
2024-01-04,Consulting Client,Interest,123957.54,Yes,Seed 117
2022-12-10,Interest Credit,Dividends,3727.2,Yes,Seed 118
2023-07-24,Freelance Project,Other,18299.61,Yes,Seed 119
2025-01-10,Freelance Project,Business,116076.24,Yes,Seed 120
2025-01-29,Employer Payroll,Freelance,40524.27,Yes,Seed 121
2022-09-18,Freelance Project,Dividends,5590.62,Yes,Seed 122
2023-02-15,Employer Payroll,Freelance,16788.19,No,Seed 123
2025-01-09,Employer Payroll,Salary,121990.24,No,Seed 124
2022-07-28,Interest Credit,Interest,47018.58,Yes,Seed 125
2023-08-25,Employer Payroll,Business,130860.75,No,Seed 126
2024-02-16,Freelance Project,Interest,13230.47,No,Seed 127
2022-05-20,Freelance Project,Salary,143605.41,No,Seed 128
2024-12-24,Rental Transfer,Other,151135.22,Yes,Seed 129
2022-09-10,Rental Transfer,Dividends,41107.95,No,Seed 130
2022-09-01,Employer Payroll,Rental,14164.95,No,Seed 131
2023-02-19,Consulting Client,Business,132124.11,No,Seed 132
2023-04-01,Interest Credit,Dividends,115714.02,No,Seed 133
2025-01-14,Consulting Client,Rental,207316.1,Yes,Seed 134
2022-07-15,Freelance Project,Interest,216006.13,No,Seed 135
2022-04-30,Consulting Client,Dividends,79585.64,No,Seed 136
2024-10-01,Employer Payroll,Salary,114646.81,No,Seed 137
2025-08-05,Consulting Client,Dividends,128214.17,Yes,Seed 138
2022-04-24,Interest Credit,Business,209343.63,Yes,Seed 139
2024-11-28,Interest Credit,Rental,183226.96,No,Seed 140
2025-11-15,Employer Payroll,Freelance,189541.2,Yes,Seed 141
2023-01-22,Interest Credit,Freelance,146631.12,Yes,Seed 142
2024-08-21,Consulting Client,Interest,15977.29,No,Seed 143
2025-01-22,Interest Credit,Rental,40464.66,No,Seed 144
2022-03-16,Interest Credit,Salary,25768.1,Yes,Seed 145
2026-01-02,Employer Payroll,Freelance,150605.75,Yes,Seed 146
2024-11-30,Consulting Client,Salary,73695.44,No,Seed 147
2026-02-11,Rental Transfer,Business,167702.81,Yes,Seed 148
2024-11-07,Employer Payroll,Business,88440.05,Yes,Seed 149
2024-04-03,Interest Credit,Salary,74650.72,No,Seed 150
2023-06-27,Employer Payroll,Other,162600.55,No,Seed 151
2025-10-16,Employer Payroll,Dividends,187971.65,Yes,Seed 152
2024-12-22,Interest Credit,Interest,111353.12,No,Seed 153
2022-03-21,Interest Credit,Dividends,77109.47,Yes,Seed 154
2025-02-23,Employer Payroll,Freelance,110469.56,Yes,Seed 155
2023-04-29,Rental Transfer,Dividends,81533.62,Yes,Seed 156
2022-12-06,Consulting Client,Business,144315.01,No,Seed 157
2025-05-02,Interest Credit,Dividends,211893.13,Yes,Seed 158
2024-09-01,Employer Payroll,Freelance,87217.79,No,Seed 159
2024-10-10,Freelance Project,Rental,82656.0,No,Seed 160
2022-06-10,Employer Payroll,Business,93004.27,Yes,Seed 161
2023-08-20,Rental Transfer,Other,205479.32,Yes,Seed 162
2023-07-18,Interest Credit,Business,117577.46,Yes,Seed 163
2025-06-20,Interest Credit,Interest,44148.24,Yes,Seed 164
2022-05-07,Freelance Project,Rental,121433.76,No,Seed 165
2023-06-06,Interest Credit,Freelance,64646.13,Yes,Seed 166
2023-07-22,Freelance Project,Other,74722.71,Yes,Seed 167
2023-08-21,Interest Credit,Interest,6891.54,No,Seed 168
2024-12-31,Employer Payroll,Salary,77151.94,Yes,Seed 169
2022-03-22,Consulting Client,Freelance,211814.47,No,Seed 170
2024-10-11,Consulting Client,Salary,72178.85,No,Seed 171
2022-01-16,Freelance Project,Rental,197531.01,No,Seed 172
2024-06-18,Interest Credit,Other,105676.55,Yes,Seed 173
2022-08-05,Rental Transfer,Interest,70371.93,No,Seed 174
2025-02-03,Employer Payroll,Freelance,188631.83,Yes,Seed 175
2022-06-09,Rental Transfer,Other,162453.88,No,Seed 176
2025-03-24,Consulting Client,Freelance,131505.78,No,Seed 177
2022-12-26,Interest Credit,Business,33777.11,Yes,Seed 178
2023-11-11,Rental Transfer,Business,205271.29,Yes,Seed 179
2023-06-11,Rental Transfer,Other,140631.21,Yes,Seed 180
2023-03-18,Interest Credit,Salary,100016.61,Yes,Seed 181
2023-12-09,Consulting Client,Salary,174392.42,Yes,Seed 182
2022-08-28,Interest Credit,Freelance,120309.7,No,Seed 183
2025-04-11,Consulting Client,Dividends,162552.71,No,Seed 184
2022-08-11,Freelance Project,Freelance,58706.02,Yes,Seed 185
2023-05-20,Rental Transfer,Other,172320.44,Yes,Seed 186
2025-05-10,Rental Transfer,Other,111226.14,Yes,Seed 187
2023-07-17,Employer Payroll,Dividends,176674.05,No,Seed 188
2022-01-20,Employer Payroll,Freelance,118975.2,No,Seed 189
2024-04-07,Interest Credit,Salary,72728.57,No,Seed 190
2023-09-03,Rental Transfer,Dividends,5760.78,Yes,Seed 191
2022-05-05,Freelance Project,Interest,78508.28,Yes,Seed 192
2022-01-11,Consulting Client,Interest,114708.28,Yes,Seed 193
